title,release_year,rating,runtime,summary,popularity,total_reviewers,user_reviews,critic_reviews
Double Indemnity,1944,8.2,1h 47m,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato... Read all","1,907",157K,450,171
Full Metal Jacket,1987,8.2,1h 56m,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,570,739K,946,168
Ikiru,1952,8.2,2h 23m,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,"4,736",79K,248,139
Scarface,1983,8.2,2h 50m,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",411,834K,1.2K,186
Hamilton,2020,8.2,2h 40m,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi... Read all",589,93K,711,106
The Sting,1973,8.2,G2h 9m,Two grifters team up to pull off the ultimate con.,"1,416",262K,347,135
To Kill a Mockingbird,1962,8.2,d2h 9m,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","1,393",316K,607,161
Heat,1995,8.2,2h 50m,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,349,651K,1.2K,216
Up,2009,8.2,1h 36m,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","1,343",1M,1K,409
Taxi Driver,1976,8.2,1h 54m,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",326,824K,1.3K,302
Incendies,2010,8.2,2h 11m,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"1,358",177K,324,247
Metropolis,1927,8.2,2h 33m,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a... Read all","1,710",174K,538,222
L.A. Confidential,1997,8.2,2h 18m,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","1,324",581K,797,153
Jodaeiye Nader az Simin,2011,8.2,32h 3m,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei... Read all,"3,227",245K,422,378
Snatch,2000,8.2,1h 44m,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",481,851K,927,170
Ladri di biciclette,1948,8.2,1h 29m,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",,164K,353,142
Die Hard,1988,8.2,2h 12m,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,810,871K,1.1K,202
Indiana Jones and the Last Crusade,1989,8.2,G2h 7m,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to s... Read all","1,576",751K,667,182
Taare Zameen Par,2007,8.2,2h 45m,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","3,560",193K,444,37
1917,2019,8.2,1h 59m,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa... Read all",421,578K,3.4K,520
